lnTotalAssets,lnTobinQ,lnRDStock_TangFixedAssets,lnPatentStock_RDStock,lnCitesStock_PatentStock
11.40033,-7.438926,1.004356,-0.8854659,0
11.66706,-5.825242,-0.8699025,0.4078739,0
17.39754,-6.132316,-2.912613,-1.391095,-1.055552
12.85093,-4.314508,-0.6638698,1.249389,-0.5576131
14.2818,-3.778172,1.018552,0.480234,1.695308
14.72389,-6.165493,-1.008906,-0.2544796,0.6810479
13.42753,-4.789007,-0.2326035,1.902896,0.5954885
14.20656,-5.762936,-2.307913,0.3274744,0.1177977
12.07836,-5.672395,-1.147416,3.480099,0.9507868
15.31536,-5.03142,-1.073988,0.5367325,1.594258
12.32558,-5.115534,-1.000283,-0.2905304,0
11.56013,-7.345022,-0.7350836,-0.5162145,-0.0569956
12.92461,-7.257222,-2.41045,-0.7041799,1.641011
12.81067,-2.609494,2.168511,2.427682,4.118803
13.23458,-5.532522,-0.1282825,-0.7745125,0
13.79554,-5.809158,-0.6474807,0.1271799,0.7262032
15.07617,-5.155409,0.8233286,-1.067778,1.372864
16.87484,-8.009575,-0.6800919,-2.231208,1.290055
11.47387,-4.315227,1.387463,-1.783217,0
12.76939,-1.001303,3.759772,-0.6235916,2.1023
14.7272,-6.799301,-0.8316748,-2.057392,1.858607
14.2542,-4.580151,2.148552,0.1115816,0.9282411
12.78146,-3.248689,2.887601,-1.421231,-0.1204003
14.94167,-4.280932,0.1406131,0.4952134,1.166647
16.50689,-7.192568,-0.8412988,3.021792,1.282961
18.50414,-3.617023,1.526265,1.129244,3.283813
13.74427,-8.505942,-1.883781,0.0894821,0.6100016
13.60232,-4.767244,0.1791573,0.7505692,1.756991
12.50218,-7.084974,-0.3552588,-2.158436,0
15.06874,-6.757588,-1.234918,0.6835516,-0.1163423
12.4137,-6.150614,-1.938703,1.507644,0.9740697
14.56915,-7.146481,-1.267983,-2.505935,0
14.52667,-7.151234,-1.401488,0.3065842,0.0554402
18.73185,-6.286434,-4.898132,0.0186956,2.313185
17.50664,-5.80401,0.1308256,-0.502453,0.9825881
15.75303,-6.482436,-1.164816,-0.9019186,-0.1775474
17.6864,-6.449648,-0.7371581,-1.827162,1.663612
16.91121,-7.575619,-3.300071,-0.4157584,0.3493022
14.91057,-8.317211,-3.200708,0.7238978,0
13.57888,-5.55302,-0.2168083,1.586997,0.4451035
16.10283,-5.142903,0.6402622,-3.186456,-0.2322463
16.56186,-7.496563,-1.081204,-1.8591,0.779147
15.92646,-7.506586,-2.657458,-1.82125,-1.344451
13.3292,-7.384134,-1.952635,-1.620163,1.221991
15.41376,-6.997579,-1.705501,-0.3206713,0.9242112
14.6517,-6.434233,0.1165238,0.6317909,0.7313377
14.25081,-6.38517,-1.522924,1.504769,-0.4982472
14.08256,-5.010671,0.7298437,-2.621059,0.9242589
16.80341,-4.780888,0.0720496,-3.891872,-1.025898
14.86036,-5.910077,-0.0197238,-1.346953,1.674224
15.33729,-5.42137,-0.270308,-1.790272,-0.0523828
13.19959,-6.847203,-2.246381,0.8145559,2.166416
16.2913,-5.498126,-0.5900893,-0.3478634,1.932322
12.07301,-6.780006,-4.585053,3.012427,0.356675
13.32257,-2.472646,1.229549,1.412322,-1.423472
12.98926,-6.368131,-1.014145,-0.1719982,1.943647
12.96947,-4.496877,0.1467762,-1.289724,1.91374
17.26944,-6.61767,1.529301,-1.189907,1.550356
15.95544,-3.861865,0.8728223,1.094178,2.826672
10.37888,-3.769644,2.731089,1.517294,2.963394
13.55932,-6.559744,-2.237162,-0.0189134,-0.9444616
13.12154,-7.013761,0.8380776,-2.091433,-0.7062193
15.81297,-6.960269,-1.362573,-1.21412,0.7116472
15.56761,-5.829443,-1.078043,0.3397683,0.6978217
15.21613,-5.776246,-0.6120896,-0.1431295,2.172273
15.27017,-6.317169,-1.221027,-0.8733265,0.9105602
14.21114,-6.313391,-0.4931144,-1.71581,0.9201471
16.01278,-5.355491,-0.7235262,-1.286993,1.414055
14.24655,-5.729696,-2.048173,2.089334,0.4255452
13.60851,-6.878813,-0.9918324,0.8403891,1.015833
13.92226,-4.45572,0.7561975,-1.088562,1.353995
13.24979,-6.141002,0.0487452,-1.533019,-0.2595112
13.32671,-7.577034,-1.112529,-0.3652231,2.742365
13.94605,-7.132355,-2.828347,-0.651727,0
11.63371,-7.281424,-1.211317,0.6894634,0.0805389
12.8873,-5.591194,-1.331463,2.459381,-1.609437
16.11642,-4.760416,0.6052137,-0.580477,1.786601
16.79407,-3.813451,0.7198297,-1.117037,1.879578
