state,STATE1,year,lnsG_R_AppTot2931,lnsG_R10_AppTot2931,lnsfood,lnsagri,YY1,YY2,YY3,YY4,YY5,YY6,YY7,YY8,YY9,YY10,YY11,YY12,YY13,YY14,YY15,YY16,YY17
GA,GA,2006,-2.093725,-2.559577,-1.659972,-2.431134,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GA,GA,2007,-1.975306,-2.456405,-1.351307,-1.811084,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GA,GA,2008,-1.920149,-2.384236,-0.9915969,-1.818936,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GA,GA,2009,-1.869959,-2.303933,-1.012406,-1.813619,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GA,GA,2010,-1.794116,-2.24241,-0.8569286,-1.640315,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GA,GA,2011,-1.748699,-2.192271,-0.7572439,-1.352684,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GA,GA,2012,-1.676108,-2.102525,-0.5365464,-1.120416,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GA,GA,2013,-1.614273,-2.022204,-0.4326598,-1.050798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GA,GA,2014,-1.600103,-1.957619,-0.419952,-1.085604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GA,GA,2015,-1.734875,-2.08108,-0.6401982,-1.293539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IA,IA,2006,-4.359056,-5.060389,-2.802427,-3.95189,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IA,IA,2007,-4.396868,-5.060809,-2.666543,-3.61628,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IA,IA,2008,-4.408565,-5.090014,-2.4425,-3.011472,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IA,IA,2009,-4.404405,-5.051984,-2.513364,-3.479039,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
IA,IA,2010,-4.437753,-5.050294,-2.337676,-3.249146,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
